filepath,filename,coupling,interaction_class,potential,source,sector,contains_antimatter,label
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-proton_or_antiproton/2Karshenboim_2011_1_millionev_abs_ep.csv,2Karshenboim_2011_1_millionev_abs_ep,gAgA,lepton-nucleon,V1,Karshenboim2011,ep,False,Karshenboim2011 (e-p)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-proton_or_antiproton/2Hunter_2013_1_m_abs_ep.csv,2Hunter_2013_1_m_abs_ep,gAgA,lepton-nucleon,V1,Hunter2013,ep,False,Hunter2013 (e-p)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-proton_or_antiproton/1a_eNastro_m_abs.csv,1a_eNastro_m_abs,gAgA,lepton-nucleon,V1a,eNastroUNKNOWN,eNastro,False,eNastroUNKNOWN (e-N (astro))
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-proton_or_antiproton/3Ficek_2018_m_abs_epbar.csv,3Ficek_2018_m_abs_epbar,gAgA,lepton-nucleon,V3,Ficek2018,epbar,True,Ficek2018 (e-p̄)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-proton_or_antiproton/3Fadeev_2022_1_m_abs_ebarpabr.csv,3Fadeev_2022_1_m_abs_ebarpabr,gAgA,lepton-nucleon,V1,Fadeev2022,epbar,True,Fadeev2022 (e-p̄)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-proton_or_antiproton/2Ficek_2018_V2_m_abs_epbar.csv,2Ficek_2018_V2_m_abs_epbar,gAgA,lepton-nucleon,V2,Ficek2018,epbar,True,Ficek2018 (e-p̄)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-proton_or_antiproton/45Ficek_2018_m_V4+5_abs_epbar.csv,45Ficek_2018_m_V4+5_abs_epbar,gAgA,lepton-nucleon,V4+5,Ficek2018,epbar,True,Ficek2018 (e-p̄)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-proton_or_antiproton/8Ficek_2018_m_abs_epbar.csv,8Ficek_2018_m_abs_epbar,gAgA,lepton-nucleon,V8,Ficek2018,epbar,True,Ficek2018 (e-p̄)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-proton_or_antiproton/3Fadeev_2022_5_m_abs_ep.csv,3Fadeev_2022_5_m_abs_ep,gAgA,lepton-nucleon,V5,Fadeev2022,ep,False,Fadeev2022 (e-p)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-proton_or_antiproton/8Hunter_2014_1_m_abs_ep.csv,8Hunter_2014_1_m_abs_ep,gAgA,lepton-nucleon,V1,Hunter2014,ep,False,Hunter2014 (e-p)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-Nucleon/45LH Wu_2023_m_abs_eN.csv,45LH Wu_2023_m_abs_eN,gAgA,lepton-nucleon,V45,LH Wu2023,eN,False,LH Wu2023 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-Nucleon/45Ding_2020_m_abs_eN.csv,45Ding_2020_m_abs_eN,gAgA,lepton-nucleon,V45,Ding2020,eN,False,Ding2020 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-Nucleon/45DG Wu_2023_m_abs_eN.csv,45DG Wu_2023_m_abs_eN,gAgA,lepton-nucleon,V45,DG Wu2023,eN,False,DG Wu2023 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-Nucleon/45Wu_2021_m_abs_eN.csv,45Wu_2021_m_abs_eN,gAgA,lepton-nucleon,V45,Wu2021,eN,False,Wu2021 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-Nucleon/45Kim_2018_m_abs_eN.csv,45Kim_2018_m_abs_eN,gAgA,lepton-nucleon,V45,Kim2018,eN,False,Kim2018 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-Nucleon/45Xiao_2023_m_abs_eN.csv,45Xiao_2023_m_abs_eN,gAgA,lepton-nucleon,V45,Xiao2023,eN,False,Xiao2023 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-Nucleon/45Clayburn_2023a_m_abs_eN.csv,45Clayburn_2023a_m_abs_eN,gAgA,lepton-nucleon,V45,ClayburnUNKNOWN,eN,False,ClayburnUNKNOWN (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-Nucleon/45Heckel_2008_m_abs_eN.csv,45Heckel_2008_m_abs_eN,gAgA,lepton-nucleon,V45,Heckel2008,eN,False,Heckel2008 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-Nucleon/45Wei Xiao_2024_m_abs_eN.csv,45Wei Xiao_2024_m_abs_eN,gAgA,lepton-nucleon,V45,Wei Xiao2024,eN,False,Wei Xiao2024 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/nucleon-nucleon/45Haddock_2018a_m_abs_nN.csv,45Haddock_2018a_m_abs_nN,gAgA,nucleon-nucleon,V45,HaddockUNKNOWN,nN,False,HaddockUNKNOWN (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/nucleon-nucleon/45voronin_2020_m_abs_NN.csv,45voronin_2020_m_abs_NN,gAgA,nucleon-nucleon,V45v,oronin2020,nn,False,oronin2020 (n-n)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/nucleon-nucleon/45Wei_2022a_m_abs_nN.csv,45Wei_2022a_m_abs_nN,gAgA,nucleon-nucleon,V45,WeiUNKNOWN,nN,False,WeiUNKNOWN (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/nucleon-nucleon/2Vasilakis_2009_1_m_abs_ee.csv,2Vasilakis_2009_1_m_abs_ee,gAgA,nucleon-nucleon,V1,Vasilakis2009,ee,False,Vasilakis2009 (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/nucleon-nucleon/3Ramsey_1979_m_abs_np.csv,3Ramsey_1979_m_abs_np,gAgA,nucleon-nucleon,V3,Ramsey1979,np,False,Ramsey1979 (n-p)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/nucleon-nucleon/3Vasilakis_2009_m_abs_nn.csv,3Vasilakis_2009_m_abs_nn,gAgA,nucleon-nucleon,V3,Vasilakis2009,nn,False,Vasilakis2009 (n-n)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/nucleon-nucleon/45Clayburn_2023c_m_abs_pN.csv,45Clayburn_2023c_m_abs_pN,gAgA,nucleon-nucleon,V45,ClayburnUNKNOWN,pN,False,ClayburnUNKNOWN (p-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/nucleon-nucleon/2ledbetter_2013_m_abs_pN.csv,2ledbetter_2013_m_abs_pN,gAgA,nucleon-nucleon,V2l,edbetter2013,pN,False,edbetter2013 (p-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/nucleon-nucleon/45Su_2021b_m_abs_NN.csv,45Su_2021b_m_abs_NN,gAgA,nucleon-nucleon,V45,SuUNKNOWN,nn,False,SuUNKNOWN (n-n)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/nucleon-nucleon/1aNNastro_m_abs.csv,1aNNastro_m_abs,gAgA,nucleon-nucleon,V1a,NNastroUNKNOWN,UNKNOWN,False,NNastroUNKNOWN (UNKNOWN)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/nucleon-nucleon/45Wei_2022b_m_abs_pN.csv,45Wei_2022b_m_abs_pN,gAgA,nucleon-nucleon,V45,WeiUNKNOWN,pN,False,WeiUNKNOWN (p-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/nucleon-nucleon/2Kimball_2010_m_abs_np.csv,2Kimball_2010_m_abs_np,gAgA,nucleon-nucleon,V2,Kimball2010,np,False,Kimball2010 (n-p)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/nucleon-nucleon/8Kimball_2010_m_abs_np.csv,8Kimball_2010_m_abs_np,gAgA,nucleon-nucleon,V8,Kimball2010,np,False,Kimball2010 (n-p)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/nucleon-nucleon/45Parnell_2020_m_abs_nN.csv,45Parnell_2020_m_abs_nN,gAgA,nucleon-nucleon,V45,Parnell2020,nN,False,Parnell2020 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/nucleon-nucleon/3Kimball_2010_m_abs_np.csv,3Kimball_2010_m_abs_np,gAgA,nucleon-nucleon,V3,Kimball2010,np,False,Kimball2010 (n-p)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/nucleon-nucleon/3Ledbetter_2013_m_abs_pN.csv,3Ledbetter_2013_m_abs_pN,gAgA,nucleon-nucleon,V3,Ledbetter2013,pN,False,Ledbetter2013 (p-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/nucleon-nucleon/451_Wu_2023_m_abs_nN.csv,451_Wu_2023_m_abs_nN,gAgA,nucleon-nucleon,V451,Wu2023,nN,False,Wu2023 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/nucleon-nucleon/45Clayburn_2023b_m_abs_nN.csv,45Clayburn_2023b_m_abs_nN,gAgA,nucleon-nucleon,V45,ClayburnUNKNOWN,nN,False,ClayburnUNKNOWN (n-N)
